Jurisdiction,Status Classification,Latest Verified Product Status,Evidence Date,Underwriter,NAIC Code,Candidate SERFF IDs,Filing ZIP Retrieved?,Rates / Rules Retrieved?,Forms Retrieved?,Confidence,Next Action,Primary Source URL,Corroborating / Conflicting Source URL,Notes
Hawaii,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Idaho,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Illinois,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Indiana,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Iowa,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Kansas,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Kentucky,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Louisiana,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Maine,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Maryland,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Massachusetts,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Michigan,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Minnesota,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Mississippi,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Missouri,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Montana,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Nebraska,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Nevada,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
New Hampshire,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
New Jersey,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
New Mexico,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
New York,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
North Carolina,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
North Dakota,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Ohio,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Oklahoma,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Oregon,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Pennsylvania,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Rhode Island,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
South Carolina,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
South Dakota,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Tennessee,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Texas,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Utah,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Vermont,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
