State,Document Category,Expected Contents,Status,Evidence / Current Path,Why It Matters,Retrieval Route
Colorado,Supporting documents,"Product narratives, comparisons, implementation documents and exhibits",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Objections / responses / correspondence,"Regulator questions, insurer responses and negotiated changes",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Disposition / approval order,"Approval, acknowledgment, disapproval, withdrawal and effective dates",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Amendments / supplements,Post-submission revisions and replacement attachments,Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Superseded / withdrawn filings,Version history needed to identify the latest operative product,Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Current-in-force validation,Written confirmation of the complete operative form/rate/rule set as of the as-of date,Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Wisconsin,Filing summary / transmittal,"SERFF tracking number, filing type, product name, company, dates, status",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Form schedule,"Complete form-number, edition-date, action and replacement schedule",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Base policy / policy jacket,"Full insuring agreement, definitions, exclusions, conditions",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,State amendatory endorsements,Mandatory state-specific amendments and exceptions,Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Coverage endorsements,"Motorsports, off-road, overlander, stated value, cherished salvage, spare parts and related options",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Applications / quote / declarations / notices,"Customer-facing application, selection, disclosure and notice forms",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Rate manual,"Base rates, territories, symbols, limits, deductibles, relativities and fees",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Rule manual,"Eligibility, underwriting, classification, cancellations, renewals and rating rules",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Rating algorithms / factors / tables,"All rating steps, factors, lookups and calculation logic made public",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Actuarial memorandum and exhibits,"Indications, assumptions, loss costs, expenses, trend, credibility and rate impact",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Supporting documents,"Product narratives, comparisons, implementation documents and exhibits",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Objections / responses / correspondence,"Regulator questions, insurer responses and negotiated changes",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Disposition / approval order,"Approval, acknowledgment, disapproval, withdrawal and effective dates",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Amendments / supplements,Post-submission revisions and replacement attachments,Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Superseded / withdrawn filings,Version history needed to identify the latest operative product,Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
Wisconsin,Current-in-force validation,Written confirmation of the complete operative form/rate/rule set as of the as-of date,Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Wisconsin OCI records request
